appid,name,genres,tags,release_date,current_players,collected_at
1751270,GunsBox VR,"['Action', 'Indie', 'Simulation', 'Free To Play', 'Early Access']",[],"1 Feb, 2022",5,2026-03-17T22:41:47.899231
492880,Virtual Insanity,"['Nudity', 'Violent', 'Gore', 'Action', 'Adventure', 'Free To Play', 'Indie']",[],Coming soon,0,2026-03-17T22:41:50.765008
2074190,1001 Jigsaw. Cute Cats 2,['Casual'],[],"1 Aug, 2022",0,2026-03-17T22:41:53.324912
4386910,NEUROBROOD,"['Adventure', 'Indie']",[],To be announced,0,2026-03-17T22:41:56.192952
766500,The Hordes of the Dead,"['Action', 'Adventure', 'Indie']",[],"30 Oct, 2025",0,2026-03-17T22:41:58.753197
3447680,Kasperia Arena,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",[],"2 Mar, 2025",0,2026-03-17T22:42:01.312195
2521890,Hues of Hope: A Painter's Tale,['Adventure'],[],To be announced,0,2026-03-17T22:42:04.180653
2716140,Milo and the Christmas Gift,[],[],"22 Dec, 2023",0,2026-03-17T22:42:07.149663
2871740,HustleGame,"['Action', 'Adventure', 'Casual', 'Indie']",[],"26 Apr, 2024",0,2026-03-17T22:42:10.018347
2888400,Lil Doll House,['Indie'],[],"10 Apr, 2024",0,2026-03-17T22:42:13.703354
1564230,RAZE 2070,"['Action', 'Casual']",[],"2 Jun, 2021",0,2026-03-17T22:42:16.263757
2304650,The Scrap,"['Action', 'Adventure', 'Indie', 'Free To Play']",[],"5 Aug, 2023",0,2026-03-17T22:42:19.130516
1879670,Futa Spell,"['Adventure', 'Indie']",[],"9 Feb, 2022",0,2026-03-17T22:42:21.690087
3145570,Astral Break,"['Action', 'Indie']",[],Coming soon,0,2026-03-17T22:42:24.557724
820380,Russian Prisoner VS Nazi Zombies,"['Violent', 'Gore', 'Action', 'Adventure', 'Indie']",[],"21 Mar, 2018",0,2026-03-17T22:42:27.117187
3811810,Radial Overdrive,"['Racing', 'Free To Play']",[],"14 Jul, 2025",0,2026-03-17T22:42:29.984729
980470,Вкудахте - Симулятор Соцсети,['Simulation'],[],Coming soon,0,2026-03-17T22:42:32.851634
